name,score,sl,tp,cooldown_hours,max_entries_24h,max_positions,cost,trades,win_rate,return_pct,median_pct,profit_factor,drawdown_pct,remove_top10_return,remove_top20_return,remove_symbol10_return,first_half_return,second_half_return,mc_positive_probability,mc_drawdown_p95,walk_forward_positive_windows,walk_forward_windows,robustness_score,eligible
CD6_E2_P15,75,5.0,10.0,6,2,15,0.1,496,44.354838709677416,4773.569853193524,-0.2,1.711426063567799,-67.53051957132223,622.9483373170515,183.84670824541604,-40.35611380364216,-0.17071539114749124,4781.904014727703,99.82,-28.788917286899725,10,13,58.0,False
CD12_E1_P5,75,5.0,10.0,12,1,5,0.1,184,42.934782608695656,16.56907829750438,-0.21997802497076818,1.113581994687621,-54.139554417184655,-54.23220796005788,-82.03047653113136,-67.59186208466978,-43.15528154528494,105.0658028860997,58.660000000000004,-27.080175252983757,7,13,22.0,False
CD12_E1_P7,75,5.0,10.0,12,1,7,0.1,256,45.703125,789.8892102476661,-0.20999125770566046,1.7767324027492386,-55.83946360630891,35.31418689197372,-46.87243258525188,-56.4297856714321,-35.129182683246796,1271.7866477656485,97.61999999999999,-26.013209301374648,9,13,48.0,False
CD12_E1_P15,75,5.0,10.0,12,1,15,0.1,483,43.2712215320911,2621.0179096133793,-0.20199772259623644,1.6386522190724473,-63.54947778424276,305.78064622732484,59.319130781556105,-37.921942881559275,1.16063373315205,2589.7991928273727,99.46000000000001,-30.44643341746316,9,13,60.0,False
CD12_E2_P5,75,5.0,10.0,12,2,5,0.1,185,44.32432432432433,60.76343386054683,-0.2179964007198663,1.2272419638091894,-55.83660811818416,-36.880453066823094,-75.21776495203825,-60.718646778611586,-45.25880536869927,193.6790746773784,76.92,-24.59696000660528,8,13,35.0,False
CD12_E2_P7,75,5.0,10.0,12,2,7,0.1,256,44.140625,521.7195209104218,-0.2139993202647737,1.6991948968049098,-54.794944135885046,-5.457089593838904,-62.8802052352446,-61.54481975453461,-47.45306662368732,1083.169941541598,94.36,-26.864709381671872,9,13,40.0,False
CD12_E2_P10,75,5.0,10.0,12,2,10,0.1,347,42.07492795389049,356.75454626810375,-0.23004807692307266,1.3487557166549728,-63.42057764159399,75.40280436664683,-31.132688096005822,-60.256481893866095,-4.774205867134951,379.65422649120757,95.86,-28.556456873765203,10,13,51.0,False
CD12_E2_P15,75,5.0,10.0,12,2,15,0.1,490,42.857142857142854,4201.7862161495095,-0.20749113569314398,1.7179589383604228,-65.49613406068724,541.5178615891468,151.8751671364039,-23.221611044408686,-16.260684979647277,5037.116556427488,99.78,-28.656939395633746,9,13,55.0,False
CD24_E1_P5,75,5.0,10.0,24,1,5,0.1,188,43.61702127659575,163.31784240678755,-0.20998876294724395,1.4007562071683795,-54.313188544536594,1.119273744053495,-60.298168609205604,-43.28243957303647,-3.5211570391666003,172.92806829543363,92.30000000000001,-22.282876211533953,7,13,45.0,False
CD24_E1_P7,75,5.0,10.0,24,1,7,0.1,247,42.91497975708502,729.1239437189491,-0.20999050901643318,1.8482016281037212,-54.24549117766383,26.074382052313673,-50.50019967895685,-51.758000207117384,-11.029833675240885,831.9123229380934,97.46000000000001,-23.576535286562038,9,13,48.0,False
CD24_E1_P10,75,5.0,10.0,24,1,10,0.1,345,42.608695652173914,229.94320980880835,-0.2199740337561094,1.2858375375966669,-67.33987569392343,26.704736176239543,-50.252707660690035,-63.79376887376637,-37.605398587307704,428.80089356848015,91.4,-30.513121313465977,9,13,48.0,False
CD24_E1_P15,75,5.0,10.0,24,1,15,0.1,477,41.509433962264154,209.46771766605102,-0.22254791431792748,1.221859944367422,-76.46558656065964,19.412289754828915,-53.11589553308384,-64.56885204806441,-56.81178552201226,616.5559433437132,87.22,-34.156314999611624,9,13,43.0,False
