scenario,check,status,value
S78_SL6_TP15,db_exit_consistency,FALHA,62
S80_SL4_TP8,db_entry_consistency,OK,0
S80_SL4_TP8,db_exit_consistency,FALHA,124
S80_SL4_TP10,db_entry_consistency,OK,0
S80_SL4_TP10,db_exit_consistency,FALHA,111
S80_SL4_TP12,db_entry_consistency,OK,0
S80_SL4_TP12,db_exit_consistency,FALHA,101
S80_SL4_TP15,db_entry_consistency,OK,0
S80_SL4_TP15,db_exit_consistency,FALHA,100
S80_SL5_TP8,db_entry_consistency,OK,0
S80_SL5_TP8,db_exit_consistency,FALHA,115
S80_SL5_TP10,db_entry_consistency,OK,0
S80_SL5_TP10,db_exit_consistency,FALHA,94
S80_SL5_TP12,db_entry_consistency,OK,0
S80_SL5_TP12,db_exit_consistency,FALHA,88
S80_SL5_TP15,db_entry_consistency,OK,0
S80_SL5_TP15,db_exit_consistency,FALHA,75
S80_SL6_TP8,db_entry_consistency,OK,0
S80_SL6_TP8,db_exit_consistency,FALHA,98
S80_SL6_TP10,db_entry_consistency,OK,0
S80_SL6_TP10,db_exit_consistency,FALHA,76
S80_SL6_TP12,db_entry_consistency,OK,0
S80_SL6_TP12,db_exit_consistency,FALHA,80
S80_SL6_TP15,db_entry_consistency,OK,0
S80_SL6_TP15,db_exit_consistency,FALHA,68
S82_SL4_TP8,db_entry_consistency,OK,0
S82_SL4_TP8,db_exit_consistency,FALHA,131
S82_SL4_TP10,db_entry_consistency,OK,0
