time,equity,open_positions
2026-08-03T05:00:00+00:00,782.80825398,10
2026-08-03T06:00:00+00:00,782.57819989,10
2026-08-03T07:00:00+00:00,792.37819989,10
2026-08-03T08:00:00+00:00,792.37819989,10
2026-08-03T09:00:00+00:00,788.17819989,10
2026-08-03T10:00:00+00:00,783.97819989,10
2026-08-03T11:00:00+00:00,783.97819989,10
2026-08-03T12:00:00+00:00,783.97819989,10
2026-08-03T13:00:00+00:00,800.05875544,10
2026-08-03T14:00:00+00:00,799.29918399,10
2026-08-03T15:00:00+00:00,799.10618364,10
2026-08-03T16:00:00+00:00,798.35630147,10
2026-08-03T17:00:00+00:00,798.35630147,10
2026-08-03T18:00:00+00:00,800.32004416,10
2026-08-03T19:00:00+00:00,808.12004416,10
2026-08-03T20:00:00+00:00,807.89306898,10
2026-08-03T21:00:00+00:00,807.89306898,10
2026-08-03T22:00:00+00:00,803.69306898,10
2026-08-03T23:00:00+00:00,803.69306898,10
2026-08-04T00:00:00+00:00,803.69306898,10
2026-08-04T01:00:00+00:00,803.69306898,10
2026-08-04T02:00:00+00:00,803.69306898,10
2026-08-04T03:00:00+00:00,803.69306898,10
2026-08-04T04:00:00+00:00,803.69306898,10
2026-08-04T05:00:00+00:00,811.49306898,10
2026-08-04T06:00:00+00:00,811.49306898,10
2026-08-04T07:00:00+00:00,810.53676645,10
2026-08-04T08:00:00+00:00,810.53676645,10
2026-08-04T09:00:00+00:00,811.33565658,10
2026-08-04T10:00:00+00:00,811.33565658,10
2026-08-04T11:00:00+00:00,811.33565658,10
2026-08-04T12:00:00+00:00,811.33565658,10
2026-08-04T13:00:00+00:00,806.34494596,10
2026-08-04T14:00:00+00:00,814.93997084,10
2026-08-04T15:00:00+00:00,822.73997084,10
2026-08-04T16:00:00+00:00,822.73997084,10
2026-08-04T17:00:00+00:00,830.53997084,10
2026-08-04T18:00:00+00:00,830.53997084,10
2026-08-04T19:00:00+00:00,830.53997084,10
2026-08-04T20:00:00+00:00,830.53997084,10
2026-08-04T21:00:00+00:00,830.53997084,10
2026-08-04T22:00:00+00:00,834.86110020,10
2026-08-04T23:00:00+00:00,834.86110020,10
2026-08-05T00:00:00+00:00,834.86110020,10
2026-08-05T01:00:00+00:00,834.86110020,10
2026-08-05T02:00:00+00:00,834.86110020,10
2026-08-05T03:00:00+00:00,842.66110020,10
2026-08-05T04:00:00+00:00,842.66110020,10
2026-08-05T05:00:00+00:00,842.66110020,10
2026-08-05T06:00:00+00:00,842.66110020,10
2026-08-05T07:00:00+00:00,843.74021694,10
2026-08-05T08:00:00+00:00,843.74021694,10
2026-08-05T09:00:00+00:00,839.33022493,10
2026-08-05T10:00:00+00:00,839.33022493,10
2026-08-05T11:00:00+00:00,839.33022493,10
2026-08-05T12:00:00+00:00,839.33022493,10
2026-08-05T13:00:00+00:00,849.44820391,10
2026-08-05T14:00:00+00:00,847.36981570,10
2026-08-05T15:00:00+00:00,850.96981570,10
2026-08-05T16:00:00+00:00,850.96981570,10
2026-08-05T17:00:00+00:00,852.75454853,10
2026-08-05T18:00:00+00:00,852.75454853,10
2026-08-05T19:00:00+00:00,848.55454853,10
2026-08-05T20:00:00+00:00,848.55454853,10
2026-08-05T21:00:00+00:00,848.55454853,10
2026-08-05T22:00:00+00:00,845.69865938,10
2026-08-05T23:00:00+00:00,845.69865938,10
2026-08-06T00:00:00+00:00,841.49865938,10
2026-08-06T01:00:00+00:00,841.49865938,10
2026-08-06T02:00:00+00:00,841.49865938,10
2026-08-06T03:00:00+00:00,833.09865938,10
2026-08-06T04:00:00+00:00,833.09865938,10
2026-08-06T05:00:00+00:00,833.09865938,10
2026-08-06T06:00:00+00:00,833.09865938,10
2026-08-06T07:00:00+00:00,833.09865938,10
2026-08-06T08:00:00+00:00,833.09865938,10
2026-08-06T09:00:00+00:00,833.09865938,10
2026-08-06T10:00:00+00:00,833.09865938,10
2026-08-06T11:00:00+00:00,833.09865938,10
2026-08-06T12:00:00+00:00,833.09865938,10
2026-08-06T13:00:00+00:00,842.89865938,10
2026-08-06T14:00:00+00:00,842.81077407,10
2026-08-06T15:00:00+00:00,844.21473766,10
2026-08-06T16:00:00+00:00,859.81473766,10
2026-08-06T17:00:00+00:00,863.47652628,10
2026-08-06T18:00:00+00:00,859.27652628,10
2026-08-06T19:00:00+00:00,855.07652628,10
2026-08-06T20:00:00+00:00,862.87652628,10
2026-08-06T21:00:00+00:00,858.67652628,10
2026-08-06T22:00:00+00:00,855.84627843,10
2026-08-06T23:00:00+00:00,863.64627843,10
2026-08-07T00:00:00+00:00,863.43626140,10
2026-08-07T01:00:00+00:00,863.43626140,10
2026-08-07T02:00:00+00:00,863.43626140,10
2026-08-07T03:00:00+00:00,865.08216830,10
2026-08-07T04:00:00+00:00,865.08216830,10
2026-08-07T05:00:00+00:00,865.08216830,10
2026-08-07T06:00:00+00:00,872.88216830,10
2026-08-07T07:00:00+00:00,872.88216830,10
2026-08-07T08:00:00+00:00,872.88216830,10
2026-08-07T09:00:00+00:00,872.88216830,10
2026-08-07T10:00:00+00:00,872.88216830,10
2026-08-07T11:00:00+00:00,872.88216830,10
2026-08-07T12:00:00+00:00,872.88216830,10
2026-08-07T13:00:00+00:00,872.88216830,10
2026-08-07T14:00:00+00:00,868.20071196,10
2026-08-07T15:00:00+00:00,868.20071196,10
2026-08-07T16:00:00+00:00,868.20071196,10
2026-08-07T17:00:00+00:00,868.20071196,10
2026-08-07T18:00:00+00:00,864.91182307,10
2026-08-07T19:00:00+00:00,864.91182307,10
2026-08-07T20:00:00+00:00,863.37112906,10
2026-08-07T21:00:00+00:00,859.65657662,10
2026-08-07T22:00:00+00:00,859.65657662,10
